t,x,y,z,w
64.500000,66.044883,42.583093,0.324456,-2.592961
64.650000,66.084087,42.188067,0.198204,-2.673958
64.800000,66.104326,41.780934,0.071589,-2.754385
64.950000,66.105546,41.361780,-0.055391,-2.834235
65.100000,66.087691,40.930692,-0.182734,-2.913506
65.250000,66.050708,40.487758,-0.310440,-2.992190
65.400000,65.994541,40.033065,-0.438508,-3.070283
65.550000,65.919137,39.566703,-0.566939,-3.147778
65.700000,65.824441,39.088762,-0.695732,-3.224669
65.850000,65.710399,38.599333,-0.824888,-3.300949
66.000000,65.576957,38.098508,-0.954407,-3.376611
66.150000,65.424059,37.586381,-1.084290,-3.451646
66.300000,65.251651,37.063046,-1.214538,-3.526048
66.450000,65.059679,36.528599,-1.345150,-3.599806
66.600000,64.848088,35.983136,-1.476129,-3.672913
66.750000,64.616822,35.426758,-1.607475,-3.745357
66.900000,64.365827,34.859563,-1.739190,-3.817129
67.050000,64.095047,34.281653,-1.871275,-3.888217
67.200000,63.804426,33.693133,-2.003731,-3.958610
67.350000,63.493909,33.094106,-2.136561,-4.028296
67.500000,63.163439,32.484680,-2.269767,-4.097261
67.650000,62.812960,31.864964,-2.403350,-4.165493
67.800000,62.442415,31.235070,-2.537313,-4.232975
67.950000,62.051747,30.595110,-2.671658,-4.299694
68.100000,61.640898,29.945200,-2.806387,-4.365632
68.250000,61.209811,29.285460,-2.941504,-4.430773
68.400000,60.758427,28.616009,-3.077012,-4.495098
68.550000,60.286688,27.936972,-3.212913,-4.558587
68.700000,59.794534,27.248476,-3.349210,-4.621220
68.850000,59.281905,26.550650,-3.485907,-4.682976
69.000000,58.748741,25.843628,-3.623008,-4.743831
69.150000,58.194982,25.127547,-3.760516,-4.803760
69.300000,57.620566,24.402548,-3.898434,-4.862738
69.450000,57.025431,23.668775,-4.036768,-4.920736
69.600000,56.409515,22.926377,-4.175520,-4.977725
69.750000,55.772754,22.175509,-4.314695,-5.033674
69.900000,55.115085,21.416329,-4.454297,-5.088548
70.050000,54.436444,20.649000,-4.594330,-5.142312
70.200000,53.736764,19.873693,-4.734799,-5.194926
70.350000,53.015982,19.090582,-4.875708,-5.246351
70.500000,52.274030,18.299849,-5.017062,-5.296541
70.650000,51.510841,17.501684,-5.158863,-5.345450
70.800000,50.726348,16.696281,-5.301118,-5.393026
70.950000,49.920483,15.883845,-5.443829,-5.439215
71.100000,49.093176,15.064589,-5.587000,-5.483958
71.250000,48.244360,14.238733,-5.730634,-5.527190
71.400000,47.373963,13.406511,-5.874734,-5.568843
71.550000,46.481916,12.568163,-6.019301,-5.608843
71.700000,45.568149,11.723944,-6.164337,-5.647108
71.850000,44.632592,10.874122,-6.309842,-5.683551
72.000000,43.675173,10.018975,-6.455814,-5.718076
72.150000,42.695824,9.158800,-6.602249,-5.750578
72.300000,41.694476,8.293908,-6.749141,-5.780944
72.450000,40.671059,7.424630,-6.896483,-5.809049
72.600000,39.625509,6.551313,-7.044262,-5.834756
72.750000,38.557760,5.674330,-7.192462,-5.857915
72.900000,37.467750,4.794075,-7.341060,-5.878359
