A,B,x
-23,-10,-0.4312944693093692
-23,-9,-0.3887499807630337
-23,-8,-0.3460247553277145
-23,-7,-0.3031367045171691
-23,-6,-0.2601044697832154
-23,-5,-0.21694735315036015
-23,-4,-0.1736852397113926
-23,-3,-0.13033851272502667
-23,-2,-0.08692796223510685
-23,-1,-0.043474688292593135
-23,0,0.0
-23,1,0.043474688292593135
-23,2,0.08692796223510685
-23,3,0.13033851272502667
-23,4,0.1736852397113926
-23,5,0.21694735315036015
-23,6,0.2601044697832154
-23,7,0.3031367045171691
-23,8,0.3460247553277145
-23,9,0.3887499807630337
-23,10,0.4312944693093692
-23,11,0.47364110006457705
-23,12,0.5157735943584086
-23,13,0.5576765581459677
-23,14,0.5993355151794543
-23,15,0.6407369311278405
-23,16,0.6818682289606548
-23,17,0.7227177960378321
-23,18,0.7632749834509741
-23,19,0.8035300982417624
-23,20,0.8434743891809973
-23,21,0.8831000268279326
-23,22,0.9224000786059569
-23,23,0.9613684796294204
-23,24,1.0
-23,25,1.0382902092619928
-23,26,1.076235438666967
-23,27,1.1138327418517444
-23,28,1.1510798544820664
-23,29,1.187975153359582
-22,-30,-1.270432818511497
-22,-29,-1.2329805601828483
-22,-28,-1.1951335432600705
-22,-27,-1.1568917228078393
-22,-26,-1.1182557206586128
-22,-25,-1.079226880210676
-22,-24,-1.0398073220694093
-22,-23,-1.0
-22,-22,-0.959808756568748
-22,-21,-0.9192383777569316
-22,-20,-0.878294645738391
-22,-19,-0.8369843889226626
-22,-18,-0.795315528283307
-22,-17,-0.7532971189202069
-22,-16,-0.7109393857496691
-22,-15,-0.6682537521820333
-22,-14,-0.6252528606381288
-22,-13,-0.5819505837780693
-22,-12,-0.5383620253728119
-22,-11,-0.49450350984398384
-22,-10,-0.45039255963288144
-22,-9,-0.4060478597358073
-22,-8,-0.36148920895869935
-22,-7,-0.3167374576958157
-22,-6,-0.271814432319318
-22,-5,-0.22674284657095684
-22,-4,-0.18154620066369204
-22,-3,-0.13624866911833464
-22,-2,-0.09087497866544941
-22,-1,-0.045450277822712146
-22,0,0.0
-22,1,0.045450277822712146
-22,2,0.09087497866544941
-22,3,0.13624866911833464
-22,4,0.18154620066369204
-22,5,0.22674284657095684
-22,6,0.271814432319318
-22,7,0.3167374576958157
-22,8,0.36148920895869935
-22,9,0.4060478597358073
-22,10,0.45039255963288144
-22,11,0.49450350984398384
-22,12,0.5383620253728119
-22,13,0.5819505837780693
-22,14,0.6252528606381288
-22,15,0.6682537521820333
-22,16,0.7109393857496691
-22,17,0.7532971189202069
-22,18,0.795315528283307
-22,19,0.8369843889226626
-22,20,0.878294645738391
-22,21,0.9192383777569316
-22,22,0.959808756568748
-22,23,1.0
-22,24,1.0398073220694093
-22,25,1.079226880210676
